,Date (YYYY-MM-DD) Time (HH:MM:SS),Trough angle
0,2024-01-12 06:56:00,86.986
1,2024-01-12 06:57:00,87.214
2,2024-01-12 06:58:00,87.443
3,2024-01-12 06:59:00,87.671
4,2024-01-12 07:00:00,87.9
5,2024-01-12 07:01:00,88.129
6,2024-01-12 07:02:00,88.358
7,2024-01-12 07:03:00,88.587
8,2024-01-12 07:04:00,88.816
9,2024-01-12 07:05:00,89.046
10,2024-01-12 07:06:00,89.891
11,2024-01-12 07:07:00,89.916
12,2024-01-12 07:08:00,89.721
13,2024-01-12 07:09:00,89.524
14,2024-01-12 07:10:00,89.325
15,2024-01-12 07:11:00,89.123
16,2024-01-12 07:12:00,88.918
17,2024-01-12 07:13:00,88.712
18,2024-01-12 07:14:00,88.503
19,2024-01-12 07:15:00,88.292
20,2024-01-12 07:16:00,88.079
21,2024-01-12 07:17:00,87.864
22,2024-01-12 07:18:00,87.648
23,2024-01-12 07:19:00,87.43
24,2024-01-12 07:20:00,87.211
25,2024-01-12 07:21:00,86.991
26,2024-01-12 07:22:00,86.77
27,2024-01-12 07:23:00,86.548
28,2024-01-12 07:24:00,86.325
29,2024-01-12 07:25:00,86.101
30,2024-01-12 07:26:00,85.876
31,2024-01-12 07:27:00,85.65
32,2024-01-12 07:28:00,85.424
33,2024-01-12 07:29:00,85.197
34,2024-01-12 07:30:00,84.969
35,2024-01-12 07:31:00,84.741
36,2024-01-12 07:32:00,84.512
37,2024-01-12 07:33:00,84.283
38,2024-01-12 07:34:00,84.053
39,2024-01-12 07:35:00,83.822
40,2024-01-12 07:36:00,83.591
41,2024-01-12 07:37:00,83.36
42,2024-01-12 07:38:00,83.128
43,2024-01-12 07:39:00,82.896
44,2024-01-12 07:40:00,82.664
45,2024-01-12 07:41:00,82.431
46,2024-01-12 07:42:00,82.197
47,2024-01-12 07:43:00,81.963
48,2024-01-12 07:44:00,81.729
49,2024-01-12 07:45:00,81.495
50,2024-01-12 07:46:00,81.26
51,2024-01-12 07:47:00,81.024
52,2024-01-12 07:48:00,80.789
53,2024-01-12 07:49:00,80.553
54,2024-01-12 07:50:00,80.317
55,2024-01-12 07:51:00,80.08
56,2024-01-12 07:52:00,79.843
57,2024-01-12 07:53:00,79.606
58,2024-01-12 07:54:00,79.368
59,2024-01-12 07:55:00,79.13
60,2024-01-12 07:56:00,78.892
61,2024-01-12 07:57:00,78.653
62,2024-01-12 07:58:00,78.414
63,2024-01-12 07:59:00,78.175
64,2024-01-12 08:00:00,77.936
65,2024-01-12 08:01:00,77.696
66,2024-01-12 08:02:00,77.456
67,2024-01-12 08:03:00,77.215
68,2024-01-12 08:04:00,76.974
69,2024-01-12 08:05:00,76.733
70,2024-01-12 08:06:00,76.492
71,2024-01-12 08:07:00,76.25
72,2024-01-12 08:08:00,76.008
73,2024-01-12 08:09:00,75.766
74,2024-01-12 08:10:00,75.523
75,2024-01-12 08:11:00,75.28
76,2024-01-12 08:12:00,75.037
77,2024-01-12 08:13:00,74.793
78,2024-01-12 08:14:00,74.549
79,2024-01-12 08:15:00,74.305
80,2024-01-12 08:16:00,74.06
81,2024-01-12 08:17:00,73.815
82,2024-01-12 08:18:00,73.57
83,2024-01-12 08:19:00,73.324
84,2024-01-12 08:20:00,73.079
85,2024-01-12 08:21:00,72.832
86,2024-01-12 08:22:00,72.586
87,2024-01-12 08:23:00,72.339
88,2024-01-12 08:24:00,72.092
89,2024-01-12 08:25:00,71.844
90,2024-01-12 08:26:00,71.597
91,2024-01-12 08:27:00,71.349
92,2024-01-12 08:28:00,71.1
93,2024-01-12 08:29:00,70.851
94,2024-01-12 08:30:00,70.602
95,2024-01-12 08:31:00,70.353
96,2024-01-12 08:32:00,70.103
97,2024-01-12 08:33:00,69.853
98,2024-01-12 08:34:00,69.602
99,2024-01-12 08:35:00,69.352
100,2024-01-12 08:36:00,69.101
101,2024-01-12 08:37:00,68.849
102,2024-01-12 08:38:00,68.597
103,2024-01-12 08:39:00,68.345
104,2024-01-12 08:40:00,68.093
